Zip Code,5/23/20,6/9/20,6/30/20
78701,39,49,121
78702,40,59,225
78703,43,46,108
78704,109,148,347
78705,62,68,161
78719,3,3,14
78721,38,61,125
78722,9,9,21
78723,71,120,271
78724,107,188,397
78725,50,68,129
78726,9,14,40
78727,28,36,106
78728,41,62,157
78730,5,8,18
78731,35,40,101
78732,9,10,30
78733,12,13,23
78734,19,22,62
78735,19,31,77
78736,33,43,56
78738,22,28,65
78739,9,14,36
78741,266,361,759
78742,5,8,17
78744,207,323,742
78745,92,137,378
78746,58,68,124
78747,65,95,192
78748,183,221,407
78749,37,60,140
78750,18,26,86
78751,17,22,68
78752,91,149,301
78753,169,298,758
78754,43,91,255
78756,7,11,29
78757,34,42,135
78758,164,257,603
78759,22,36,109